,Canal_id,year,Canal_name,Sample_water_point,TEMP. (oC),  pH,DO (mg/l),H2S (mg/l),BOD (mg/l),COD (mg/l),SS (mg/l),TKN (mg/l),NH3N (mg/l),NO2 (mg/l),NO3 (mg/l),T-P (mg/l),T.Coliform (col/100ml),Sample_water_point (EN),Canal_name (EN)
207,991,2561,คลองลำต้นกล้วย,ถนนมิตรไมตรี ก่อนถึงสามแยก รพ.หนองจอก,28.00,7.50,3.40,0.00,5.00,42.00,133.00,3.40,1.70,0.03,2.30,0.20,2.10E+05,"Mitmaitri Road, before reaching the Nong Chok Hospital intersection.",Banana trunk canal
208,1001,2561,คลองลำผักชี,ถนนสุวินทวงศ์ สถานีย่อยสุวินทวงศ์ กฟน.,28.00,7.30,1.60,0.00,5.00,37.00,32.00,1.10,0.60,0.11,1.90,0.20,9.30E+05,"Suwinthawong Road Suwinthawong Substation, MEA",Lam Phak Chi Canal
209,1002,2561,คลองลำผักชี,ถนนฉลองกรุง หมู่บ้านฉลองกรุงริเวอร์วิว,28.00,7.30,1.80,0.00,5.00,57.00,33.00,1.70,0.80,0.12,1.90,0.20,2.00E+05,"Chalong Krung Road, Chalong Krung Riverview Village",Lam Phak Chi Canal
210,1021,2561,คลองลำปลาเน่า,ถนนฉลองกรุง จดกลับรถใต้สะพานข้ามคลอง,28.00,7.30,0.40,0.00,6.00,53.00,9.00,1.70,0.60,0.06,2.10,0.50,1.10E+07,"Chalong Krung Road, make a U-turn under the bridge over the canal.",Rotten Lam Pla Canal
211,1031,2561,คลองส้มป่อย,สะพานพระราม 6 สถานีเฝ้าระวัง,28.00,7.40,2.80,0.00,4.00,65.00,15.00,2.20,0.90,0.02,1.70,0.20,4.30E+05,Rama 6 Bridge Surveillance Station,Khlong Sompoi
212,1041,2561,คลองซุง,ใต้สะพานพระราม 6 ข.ทางรถไฟบางซ่อน,28.00,7.30,2.40,0.00,4.00,51.00,10.00,1.70,0.30,0.31,1.30,0.30,9.00E+04,"Under Rama 6 Bridge, Bang Son Railway",Khlong Sung
213,1051,2561,คลองบางซ่อน,ถนนประชาราษฏร์สาย 1 ซอย 34-36,28.00,7.30,0.00,0.40,15.00,79.00,12.00,9.00,4.50,0.01,1.40,0.70,1.10E+07,"Pracharat Sai 1 Road, Soi 34-36",Khlong Bang Son
214,1061,2561,คลองสาธารณะประโยชน์,ถนนประชาราษฎร์สาย 1 ใกล้ซอย 21,28.00,7.40,1.80,0.00,5.00,46.00,7.00,2.80,1.10,0.00,1.10,0.40,9.30E+05,"Pracharat Sai 1 Road, near Soi 21",Public canal
215,1071,2561,คลองบึง,หน้าสำนักงานเขตสวนหลวง,28.00,7.40,0.00,0.90,16.00,80.00,8.00,5.60,2.10,0.01,2.00,0.70,2.30E+09,In front of the Suan Luang District Office,Khlong Bueng
216,1081,2561,คลองสองห้อง,ถนนอ่อนนุชใกล้ซอย 61,28.00,7.40,0.00,0.90,34.00,98.00,14.00,17.90,8.70,0.03,2.30,2.20,1.10E+11,On Nut Road near Soi 61,Khlong Song Hong
217,1082,2561,คลองสองห้อง,ถนนเฉลิมพระเกียรติ ร.9,28.00,7.50,1.20,0.00,7.00,49.00,9.00,3.40,1.20,0.05,1.90,1.10,1.50E+09,Chaloem Phrakiat Rama 9 Road,Khlong Song Hong
218,1083,2561,คลองสองห้อง,หน้าโรงขยะอ่อนนุข,28.00,7.50,0.00,0.90,17.00,63.00,11.00,11.20,5.60,0.02,2.10,1.60,1.10E+11,In front of On Nut Garbage Plant,Khlong Song Hong
219,1091,2561,คลองวัดกระทุ่มเสือปลา,ถนนอ่อนนุชซอย 67 วัดกระทุ่มเสือปลา,28.00,9.10,0.00,0.10,18.00,79.00,12.00,39.80,19.60,0.01,4.40,0.80,2.80E+09,"On Nut Road, Soi 67, Wat Krathum Suea Pla",Khlong Wat Krathum Suea Pla
220,1101,2561,คลองตะเข้ขบ,ถนนเฉลิมพระเกียรติ ร.9 ซอย 79,28.00,8.00,0.80,0.00,8.00,52.00,9.00,6.70,3.20,0.00,1.80,1.10,1.10E+09,"Chaloem Phrakiat Road, Rama 9, Soi 79",Khlong Takhe Khob
221,1102,2561,คลองตะเข้ขบ,ถนนลาดกระบัง ใต้ทางด่วน,28.00,7.80,0.50,0.00,15.00,62.00,12.00,5.00,2.20,0.01,2.00,1.10,2.80E+07,"Lat Krabang Road, under the expressway",Khlong Takhe Khob
222,1111,2561,คลองปลัดเปรียง,ถนนเฉลิมพระเกีตรติ ร.9 มัสยิดซะห์ฯ,28.00,7.50,0.00,1.00,17.00,71.00,11.00,9.00,4.50,0.01,2.10,1.10,9.30E+09,"Chaloem Phrakiat Rama 9 Road, Sah Mosque",Khlong Palad Priang
223,1112,2561,คลองปลัดเปรียง,ทางลัดเข้าซอยร่มเย็น,28.00,7.50,0.00,4.00,29.00,92.00,9.00,17.90,5.60,0.01,2.30,1.10,2.40E+10,Shortcut to Soi Rom Yen,Khlong Palad Priang
224,1121,2561,คลองมะขามเทศ,ถนนเฉลิมพระเกียรติ ร.9 ซอย 51,28.00,7.50,1.00,0.00,7.00,63.00,6.00,6.70,2.20,0.01,1.80,1.00,2.40E+08,"Chaloem Phrakiat Road, Rama 9, Soi 51",Makhamthet Canal
225,1131,2561,คลองหนองบอน,ถนนเฉลิมพระเกียรติ ร.9 ซอย 26,28.00,7.60,0.00,3.00,27.00,81.00,20.00,11.80,5.60,0.01,2.90,1.30,1.50E+08,"Chaloem Phrakiat Road, Rama 9, Soi 26",Khlong Nong Bon
226,1141,2561,คลองตาช้าง,สถานีสูบน้ำคลองตาช้าง ถนนศรีนครินทร์,28.00,7.60,0.00,4.00,29.00,98.00,19.00,11.20,5.60,0.02,2.20,1.30,4.60E+08,Khlong Ta Chang Pumping Station Srinakarin Road,Khlong Ta Chang
227,1151,2561,คลองสาด,ประตุระบายน้ำคลองสาด ถ.ศรีนครินทร์,28.00,7.60,0.00,1.00,19.00,83.00,10.00,6.70,2.20,0.01,2.30,1.10,1.10E+09,Khlong Sad drainage gate Srinakarin Rd.,Khlong Sad
228,1161,2561,คลองบ้านม้า,ถนนศรีนครินทร์,28.00,7.60,1.80,0.00,5.00,62.00,17.00,6.70,1.50,0.00,2.20,0.80,1.10E+07,Srinakarin Road,Khlong Ban Ma
229,1171,2561,คลองหัวหมาก,ถนนอ่อนนุข,28.00,7.70,1.40,0.00,10.00,73.00,10.00,5.00,1.50,0.01,1.90,0.70,2.30E+09,On Nut Road,Khlong Hua Mak
230,1181,2561,คลองตาพุก,ถนนลาดกระบัง ใกล้ซอย 4,29.00,7.40,2.30,0.00,7.00,63.00,17.00,2.80,1.20,0.15,2.10,1.50,4.60E+06,"Lat Krabang Road, near Soi 4",Khlong Ta Phuk
231,1191,2561,คลองบัวลอย,ถนนลาดกระบัง ใกล้ซอย 22,29.00,7.50,0.00,1.70,25.00,87.00,12.00,16.80,11.80,0.00,2.80,1.30,2.30E+07,"Lat Krabang Road, near Soi 22",Khlong Bua Loi
232,1201,2561,คลองลาดกระบัง,ถนนลาดกระบัง วัดลาดกระบัง,29.00,7.50,1.60,0.00,5.00,49.00,22.00,2.80,1.20,0.05,2.20,0.30,1.50E+06,"Lat Krabang Road, Lat Krabang Temple",Lat Krabang Canal
233,1211,2561,คลองหนองตะกร้า,ถนนลาดกระบัง ใกล้ซอย 40,29.00,7.50,3.20,0.00,6.00,52.00,31.00,2.80,1.10,0.10,2.30,0.40,1.20E+06,"Lat Krabang Road, near Soi 40",Khlong Nong Kratat
234,1221,2561,คลองหนองคา,หมู่บ้านมณสินี,29.00,7.50,2.40,0.00,6.00,63.00,24.00,1.10,0.80,0.11,2.40,0.30,9.30E+05,Mansini Village,Nong Kha Canal
235,1231,2561,คลองหนองปรือ,สวนถระนคร ,29.00,7.50,0.80,0.00,7.00,45.00,23.00,2.80,1.20,0.00,2.10,0.60,1.10E+07,Suan Tharanakhon ,Nong Prue Canal
236,1241,2561,คลองหัวตะเข้,ถนนลาดกระบัง ใกล้ซอย 17,29.00,7.50,2.00,0.00,6.00,41.00,32.00,2.80,1.10,0.05,2.40,0.50,1.10E+07,"Lat Krabang Road, near Soi 17",Khlong Hua Takhe
237,1251,2561,คลองบึงบัว,ติดถนนเจ้าคุณทหาร,28.00,7.40,3.20,0.00,6.00,42.00,18.00,3.40,2.50,0.35,8.60,0.50,1.10E+07,Next to Chao Khun Thahan Road,Bueng Bua Canal
238,1261,2561,คลองลำชวดเตย,ตัดถนนฉลองกรุง ใกล้หมู่บ้านวรีย์เฮ้าส์,28.00,7.50,0.00,1.20,29.00,71.00,16.00,9.50,4.50,0.00,3.10,1.20,2.40E+08,Cutting Chalong Krung Road Near Waree House Village,Lam Chuat Toei Canal
239,1271,2561,คลองลำกอไผ่,ตัดถนนฉลองกรุง  ,28.00,7.50,1.50,0.00,6.00,41.00,71.00,1.70,0.60,0.06,2.70,0.50,1.50E+06,Cutting Chalong Krung Road  ,Khlong Lam Ko Phai
240,1281,2561,คลองบัว,โรงเรียนบ้านคลองบัว ถนนสุขาภิบาล 5,28.00,7.30,0.00,0.40,22.00,80.00,6.00,11.80,5.60,0.01,1.80,0.70,2.30E+11,"Ban Khlong Bua School, Sukhaphiban 5 Road",Khlong Bua
241,1291,2561,คลองจรเข้,ถ.วัชรพล(ข้างร้านไก่ย่างจักราช ใต้ทางด่วน),28.00,7.40,0.00,0.30,53.00,117.00,74.00,27.40,11.20,0.02,2.60,2.30,9.30E+11,"Watcharaphon Rd. (next to Chakrat Grilled Chicken Shop, under the expressway)",Khlong Chorakhe
242,1301,2561,คลองออเงิน,ตัด ถ.สุขาภิบาล 5 สะพานระหว่างซอยสายไหม 58-60,28.00,7.80,5.70,0.00,15.00,61.00,12.00,8.40,4.50,0.01,1.50,0.80,7.00E+08,"Cut Sukhaphiban 5 Road, bridge between Soi Sai Mai 58-60",Khlong Or Ngoen
243,1302,2561,คลองออเงิน,หมู่บ้านมายด์เพลส,28.00,7.90,4.70,0.00,9.00,47.00,10.00,7.30,4.50,0.00,1.50,0.80,4.30E+09,Mind Place Village,Khlong Or Ngoen
244,1303,2561,คลองออเงิน,โรงเรียนศิริวัฒน์วิทยา,28.00,8.20,9.70,0.00,14.00,59.00,14.00,8.40,4.20,0.01,1.50,0.80,9.30E+09,Siriwat Wittaya School,Khlong Or Ngoen
245,1321,2561,คลองสอง,ซ.วัดเกาะ สามแยก รร.ระเบียบวิทยา,28.00,7.90,2.90,0.00,10.00,44.00,48.00,8.40,3.20,0.00,1.30,0.40,1.10E+11,"Soi Wat Ko, Sam Yaek, Raababwittaya School",Khlong Song
246,1331,2561,คลองบางอ้อ,ถ.รถไฟสายเก่า คลังน้ำมันบางจาก,28.00,7.40,0.00,0.30,19.00,63.00,16.00,15.70,6.20,0.01,1.90,1.20,2.10E+14,Old Train Road Bangchak Oil Depot,Khlong Bang O
247,1341,2561,คลองเจ็ก,ถ.รถไฟสายเก่า แฟลตเอื้ออมรสุข,28.00,7.50,0.00,0.80,18.00,59.00,9.00,11.20,4.20,0.02,2.20,1.10,2.10E+14,Old Train Road Eua Amornsuk Flat,Khlong Chek
248,1351,2561,คลองบ้านหลาย,ถ.อ่อนนุช,28.00,7.50,0.00,0.40,26.00,87.00,13.00,9.50,4.20,0.02,2.40,1.20,2.80E+13,On Nut Rd.,Khlong Ban Lai
249,1352,2561,คลองบ้านหลาย,ซ.พึ่งมี 50 พึ่งมีแมนชั่น,28.00,7.50,0.00,0.50,26.00,89.00,15.00,16.80,11.80,0.02,2.30,1.50,1.50E+14,Soi Phuengmee 50 Phuengmee Mansion,Khlong Ban Lai
250,1361,2561,คลองเคล็ด,ถ.อ่อนนุช,28.00,7.40,0.00,0.60,31.00,92.00,13.00,12.30,5.60,0.03,2.50,1.10,1.10E+15,On Nut Rd.,Klong Kled
251,1362,2561,คลองเคล็ด,ถ.อุดมสุข ,28.00,7.50,0.00,0.30,21.00,65.00,16.00,14.00,9.00,0.01,2.40,1.50,1.10E+15,Udomsuk Rd. ,Klong Kled
252,1371,2561,คลองขวาง,ถ.เจริญกรุง 72,28.00,7.40,1.50,0.00,5.00,37.00,17.00,1.70,0.80,0.15,2.00,0.20,2.00E+07,Charoen Krung Road 72,Khlong Khwang
253,1381,2561,คลองสวนหลวง ,ปตร.สวนหลวง ถ.เจริญกรุง 76,28.00,7.30,1.00,0.00,6.00,27.00,13.00,3.40,1.50,0.13,2.00,0.20,2.30E+07,"Suan Luang Police Station, Charoen Krung Road 76",Suan Luang Canal 
254,1391,2561,คลองบางคอแหลม,ถ.พระราม 3 ตรงข้าม ธ.กสิกรไทย,28.00,7.40,1.40,0.00,6.00,25.00,10.00,2.20,1.20,0.11,1.90,0.20,3.00E+06,"Rama 3 Rd., opposite Kasikorn Bank",Khlong Bang Kho Laem
255,1401,2561,คลองวัดจันทร์,ถ.พระราม 3 หน้า สนง.เขตบางคอแหลม,28.00,7.40,1.80,0.00,6.00,31.00,11.00,1.10,0.80,0.09,1.90,0.20,1.20E+06,"Rama 3 Road, in front of Bang Kho Laem District Office",Khlong Wat Chan
256,1411,2561,คลองบางโคล่น้อย,ถ.พระราม 3 โฮมโปร,28.00,7.40,1.50,0.00,7.00,35.00,18.00,1.70,1.00,0.10,2.00,0.20,4.00E+04,Rama 3 Rd. HomePro,Khlong Bang Khlo Noi
257,1412,2561,คลองบางโคล่น้อย,ถ.เจริญราษฎร์,28.00,7.40,1.60,0.00,6.00,46.00,24.00,1.70,0.80,0.11,2.00,0.20,2.00E+05,Charoenrat Rd.,Khlong Bang Khlo Noi
258,1421,2561,คลองบางโคล่,ถ.พระราม 3 โรงแรมมณเฑียรริเวอร์ไซด์,28.00,7.40,1.60,0.00,6.00,30.00,22.00,2.80,1.20,0.12,2.00,0.20,1.50E+06,"Rama 3 Road, Montien Riverside Hotel",Khlong Bang Khlo
259,1431,2561,คลองวัดไทร,ถ.พระราม 3 วัดไกร,28.00,7.40,1.10,0.00,8.00,50.00,17.00,1.70,0.60,0.10,1.60,0.30,1.10E+07,"Rama 3 Rd., Wat Krai",Khlong Wat Sai
260,1441,2561,คลองวัดช่องนนทรี,ถ.พระราม 3 เข้าซอย 53,28.00,7.50,1.10,0.00,8.00,34.00,23.00,1.10,0.60,0.14,1.80,0.40,2.40E+08,"Rama 3 Rd., enter Soi 53.",Khlong Wat Chong Nonsi
261,1451,2561,คลองลำสาลี,ถ.กรุงเทพกรีฑา โรงเรียนลำสาลี,28.00,7.40,2.70,0.00,8.00,46.00,12.00,6.70,3.20,0.00,1.50,0.90,4.00E+08,Krungthep Kreetha Rd. Lamsalee School,Khlong Lam Sali
262,1452,2561,คลองลำสาลี,ถ.กรุงเทพกรีฑา ซอยประชาร่วมใจ,28.00,7.50,2.90,0.00,5.00,41.00,19.00,4.50,2.20,0.42,1.70,0.70,7.00E+08,Krungthep Kreetha Rd. Soi Pracha Ruamjai,Khlong Lam Sali
263,1461,2561,คลองวัดใหม่,ถ.พระราม 3 ธ.กรุงศรีอยุธยาฯ,28.00,7.50,1.20,0.00,6.00,37.00,92.00,1.70,0.60,0.09,2.00,0.20,1.50E+06,"Rama 3 Rd., Bank of Ayudhya",Khlong Wat Mai
264,1471,2561,คลองวัดปริวาส,ถ.พระราม 3,28.00,7.50,1.50,0.00,6.00,34.00,26.00,1.70,0.60,0.11,2.00,0.20,4.30E+05,Rama 3 Rd.,Khlong Wat Pariwat
265,1491,2561,คลองวัดดอกไม้,ถ.พระราม 3 วัดดอกไม้,28.00,7.50,1.40,0.00,6.00,37.00,20.00,1.10,0.60,0.10,2.00,0.20,2.40E+06,"Rama 3 Rd., Wat Dokmai",Khlong Wat Dokmai
266,1501,2561,คลองโรงน้ำมัน,ถ.พระราม 3 ข้างปั้มน้ำมันบางจาก,28.00,7.40,1.90,0.00,5.00,26.00,10.00,2.20,1.50,0.10,2.00,0.20,2.00E+05,"Rama 3 Rd., next to Bangchak gas station",Oil factory canal
267,1513,2561,คลองครุ,ถ.เสรีไทย 67,28.00,7.50,0.00,0.10,25.00,77.00,6.00,3.40,2.20,0.01,2.00,1.10,2.40E+08,Seri Thai Road 67,Khlong Khru
268,1531,2561,คลองเกร็ด,ถ.ปัญญา-เนเจอรัลปาร์ค,28.00,7.50,0.00,0.20,11.00,58.00,5.00,4.50,2.20,0.00,2.10,1.20,1.10E+09,Panya-Natural Park Rd.,Khlong Kret
269,1541,2561,คลองคอตัน,ถ.ปัญญา-เนเจอรัลปาร์ค,28.00,7.40,0.00,0.10,10.00,51.00,117.00,11.80,5.60,0.00,2.20,1.90,4.00E+06,Panya-Natural Park Rd.,Kho Tan Canal
270,1551,2561,คลองรหัส,ถ.เสรีไทย 57,28.00,7.60,2.20,0.00,6.00,42.00,15.00,2.80,0.80,0.00,1.80,1.40,1.10E+07,Seri Thai Road 57,Khlong Code
271,1561,2561,คลองลำต้นนุ่น,ถ.เสรีไทย 73,28.00,7.50,0.00,0.10,13.00,53.00,6.00,9.00,5.60,0.01,2.20,2.30,2.30E+09,Seri Thai Road 73,Khlong Thom Nun
272,1571,2561,คลองบ้านม้า,ถ.รามคำแหง สามแยกบ้านม้า,28.00,7.50,1.30,0.00,8.00,53.00,14.00,11.80,5.60,0.00,1.50,0.90,9.00E+08,"Ramkhamhaeng Road, Ban Ma Intersection",Khlong Ban Ma
273,1572,2561,คลองบ้านม้า,ถ.รามคำแหง (สุขาภิบาล 3) ,28.00,7.50,2.30,0.00,6.00,48.00,6.00,3.90,2.50,0.00,1.40,0.90,2.30E+09,Ramkhamhaeng Road (Sukapiban 3) ,Khlong Ban Ma
274,1591,2561,คลองสะพานสูง,ถ.รามคำแหง หมู่บ้านกรีนเบอร์วิลล์,28.00,7.50,0.00,0.30,22.00,83.00,6.00,12.90,5.60,0.01,2.20,1.40,1.10E+11,"Ramkhamhaeng Rd., Greenberville Village",Saphan Sung Canal
275,1611,2561,คลองทับช้างล่าง,ถ.กรุงเทพกรีฑา ซ.ภราดร,28.00,7.60,3.90,0.00,10.00,49.00,8.00,2.80,1.10,0.20,1.60,0.70,7.00E+08,"Krungthep Kreetha Rd., Soi Paradorn",Khlong Thap Chang Lang
276,1621,2561,คลองบัวคลี่,ถ.เลียบมอเตอร์เวย์ หน้าวัดลาดบัวขาว,28.00,7.60,4.50,0.00,6.00,36.00,10.00,3.90,1.10,0.00,1.50,0.80,2.30E+07,Road along the motorway In front of Lat Bua Khao Temple,Khlong Bua Khli
277,1631,2561,คลองหลอแหล,ถ.ราษฎร์พัฒนา ซ.มิสทิน,28.00,7.60,4.00,0.00,6.00,36.00,12.00,2.80,1.50,0.21,1.60,0.80,4.30E+07,"Rat Phatthana Rd., Soi Mistin",Khlong Lo Lae
278,1641,2561,คลองลำมะขาม,ถ.ฉลองกรุง,28.00,7.40,1.60,0.00,5.00,40.00,73.00,2.20,0.80,0.04,2.80,1.10,2.10E+06,Chalong Krung Rd.,Khlong Lam Makham
279,1651,2561,คลองมะนาว,ถนนรัชดาภิเษก พระราม 4,28.00,7.50,0.00,1.00,16.00,87.00,15.00,7.30,4.50,0.00,1.50,0.90,1.10E+11,"Ratchadaphisek Road, Rama 4",Khlong Manao
280,1661,2561,คลองมหาศร,เลียบคลองภาษีเจริญฝั่งเหนือ ซ.5,29.00,7.40,1.60,0.00,5.00,46.00,6.00,3.90,2.50,0.23,2.40,0.80,2.30E+07,"Along Phasi Charoen Canal, North Side, Soi 5",Khlong Mahasorn
281,1662,2561,คลองมหาศร,ถ.เพชรเกษม 112 รร.เทคโนโลยีหมู่บ้านครู,29.00,7.50,2.30,0.00,6.00,45.00,22.00,4.50,2.20,0.73,3.30,0.60,4.50E+07,Phetkasem Rd. 112 Kru Village Technology School,Khlong Mahasorn
282,1663,2561,คลองมหาศร,ถ.เพชรเกษม112สะพาน3แยกไปทวีวัฒนา,29.00,7.40,0.00,0.32,13.00,82.00,16.00,5.00,1.10,0.17,1.40,0.80,2.40E+08,"Phetkasem Road 112, Bridge 3, intersection to Thawi Watthana",Khlong Mahasorn
283,1671,2561,คลองบางจาก,ถ.กาญจนาภิเษกก่อนถึงเดอะมอลบางแค,29.00,7.20,0.00,0.40,12.00,61.00,8.00,5.60,1.20,0.00,2.00,0.50,4.60E+08,"Kanchanaphisek Rd., before reaching The Mall Bang Khae",Khlong Bang Chak
284,1672,2561,คลองบางจาก,ถ.พุทธมณฑลสาย2 บ่อสูบน้ำคลองบางจาก,29.00,7.40,2.60,0.00,5.00,47.00,6.00,3.40,1.10,0.04,2.10,0.30,1.10E+09,Phutthamonthon Sai 2 Rd. Bang Chak Canal Pumping Well,Khlong Bang Chak
285,1681,2561,คลองบางไผ่,ถ.เลียบคลองทวีวัฒนาสุดเขต สน.ค้างพลู,29.00,7.50,3.90,0.00,5.00,58.00,12.00,3.40,1.10,0.00,1.50,0.20,7.00E+06,"Liab Khlong Thawi Watthana Sudket Road, Khang Phlu Police Station",Khlong Bang Phai
286,1682,2561,คลองบางไผ่,ถ.พุทธมณฑลสาย2 สะพานข้าม ค.บางไผ่,29.00,7.40,3.30,0.00,5.00,74.00,5.00,3.90,1.10,0.10,1.90,0.20,4.30E+11,"Phutthamonthon Sai 2 Road, Crossing Bridge, Bang Phai Subdistrict",Khlong Bang Phai
287,1691,2561,คลองสามวา,หทัยราษฎร์,27.00,7.40,1.30,0.00,5.00,70.00,72.00,4.50,0.80,0.04,2.70,0.30,1.10E+05,Hathairat,Khlong Sam Wa
288,1692,2561,คลองสามวา,สุเหร่าคลองสามวา,27.00,7.30,1.70,0.00,5.00,56.00,48.00,4.50,0.80,0.03,2.70,0.30,3.00E+04,Khlong Sam Wa Mosque,Khlong Sam Wa
289,1701,2561,คลองพลับพลา,สถานีสูบน้ำคลองพลับพลา,29.00,7.20,0.00,0.30,13.00,63.00,46.00,10.10,5.60,0.01,1.90,1.00,1.10E+09,Khlong Phlapphla Pumping Station,Khlong Phlapphla
290,1702,2561,คลองพลับพลา,ประตูคลีนิคศูนย์แพทย์พัฒนา ถ.ประดิษฐ์มนูธรรม,29.00,7.20,0.90,0.00,11.00,52.00,13.00,8.40,4.50,0.01,1.70,0.70,7.00E+06,Pattana Medical Center clinic door Praditmanutham Rd.,Khlong Phlapphla
291,1703,2561,คลองพลับพลา,หน้าลานจอดรถคลีนิคศูนย์แพทย์พัฒนา ถ.ประดิษฐ์มนูธรรม,29.00,7.20,0.00,0.10,10.00,69.00,22.00,6.20,4.20,0.02,1.90,0.80,2.10E+07,"In front of the clinic parking lot, Phatthana Medical Center Praditmanutham Rd.",Khlong Phlapphla
292,1704,2561,คลองพลับพลา,หลังหมู่บ้านพลับพลา ฝั่ง สน.วังทองหลาง,29.00,7.20,1.10,0.00,11.00,80.00,18.00,10.10,4.20,0.02,1.80,0.60,1.50E+08,"Behind Phlapphla Village, side of Wang Thonglang Police Station.",Khlong Phlapphla
293,1705,2561,คลองพลับพลา,ลำธารคลองพลับพลา หลัง สน.วังทองหลาง,29.00,7.20,0.00,0.10,9.00,73.00,25.00,7.80,4.80,0.01,2.10,0.70,2.10E+08,"Khlong Phlapphla Stream, behind Wang Thonglang Police Station",Khlong Phlapphla
294,1711,2561,คลองพลับพลา,หลังป้อมตำรวจ ตรงข้ามคลีนิคศูนย์แพทย์พัฒนา,29.00,7.30,0.00,0.50,17.00,86.00,22.00,10.10,3.10,0.01,1.90,0.90,4.60E+08,Behind the police station Opposite the Phatthana Medical Center Clinic,Khlong Phlapphla
295,1721,2561,คลองต้นสน,ซอยต้นสน หน้าโรงเรียนนานาชาติมัลเบอรี่ส์,28.00,7.50,2.00,0.00,5.00,40.00,7.00,6.20,2.10,0.00,1.70,1.70,4.00E+10,"Soi Tonson, in front of Mulberry International School",Khlong Tonson
296,1722,2561,คลองต้นสน,ซอยต้นสน หน้าสถานฑูตเนเธอร์แลนด์,28.00,7.50,3.30,0.00,15.00,63.00,10.00,5.00,1.50,0.00,2.60,1.20,4.00E+10,"Soi Tonson, in front of the Netherlands Embassy",Khlong Tonson
297,1731,2561,คลองสมคิด,ซอยสมคิด หน้าลานจอดรถซัลทรัลชิดลม,28.00,7.30,2.30,0.00,18.00,72.00,21.00,5.00,2.20,0.00,2.00,1.70,4.00E+10,"Soi Somkid, in front of Central Chidlom parking lot",Khlong Somkid
298,1732,2561,คลองสมคิด,ซอยสมคิด ก่อนโรงแรมปาร์คนายเลิศ,28.00,7.30,0.00,0.10,37.00,91.00,10.00,5.60,2.20,0.00,2.00,1.30,9.30E+11,"Soi Somkid, before Nai Lert Park Hotel",Khlong Somkid
299,1741,2561,คลองสี่,ถนนสุวินทวงศ์(เลย)บริษัทแสงสหมิตรสตีล จำกัด,28.00,7.40,1.90,0.00,5.00,34.00,44.00,1.10,0.60,0.10,2.20,0.20,7.00E+04,Suwinthawong Road (Loei) Saeng Sahamit Steel Company Limited,Khlong Si
300,1751,2561,คลองลำต้นไทร,ถนนสุวินทวงศ์ ก่อน กฟผ.สุวินทวงศ์,28.00,7.40,1.90,0.00,5.00,50.00,37.00,7.80,3.20,0.01,2.30,1.30,2.10E+06,"Suwinthawong Road, before EGAT Suwinthawong",Khlong Thom Sai
301,1761,2561,คลองบางมด,พระราม 2 (วัดยายร่ม),29.00,7.30,0.90,0.00,6.00,89.00,9.00,5.00,2.50,0.11,1.60,0.70,2.30E+07,Rama 2 (Wat Yai Rom),Khlong Bang Mot
302,1762,2561,คลองบางมด,ซอยพุทธบูชา 24,29.00,7.40,3.50,0.00,5.00,76.00,14.00,2.80,1.50,0.13,1.50,0.60,2.40E+08,Soi Phutthabucha 24,Khlong Bang Mot
303,1763,2561,คลองบางมด,วัดพุทธบูชา,29.00,7.30,1.90,0.00,5.00,57.00,17.00,2.80,1.10,0.37,1.60,0.50,4.00E+04,Buddhabucha Temple,Khlong Bang Mot
304,1764,2561,คลองบางมด,ถนนเลียบวงแหวน,29.00,7.30,2.50,0.00,5.00,63.00,19.00,1.70,0.80,0.30,1.80,0.50,2.30E+05,ring road,Khlong Bang Mot
305,12,2562,คลองคูเมืองเดิม,ปตร.ราชินี,29.58,6.92,2.04,0.05,7.17,59.67,13.75,4.86,1.57,0.27,2.04,0.34,1.07E+09,Her Royal Highness Princess Maha Chakri Sirindhorn,Khlong Khu Mueang Derm
306,13,2562,คลองคูเมืองเดิม,หน้ากรมที่ดิน,29.58,6.97,2.74,0.00,5.33,42.83,13.92,4.58,1.28,0.32,2.04,0.36,1.21E+09,Department of Lands page,Khlong Khu Mueang Derm
307,14,2562,คลองคูเมืองเดิม,อนุสาวรีย์แม่ธรณีมวยผม สนามหลวง,29.58,7.01,3.06,0.00,5.83,62.33,24.25,3.32,0.70,0.39,2.77,0.30,3.86E+08,"Mother Earth Muay Hair Monument, Sanam Luang",Khlong Khu Mueang Derm
308,15,2562,คลองคูเมืองเดิม,ปตร. พระปิ่นเกล้า,29.58,7.01,3.34,0.00,4.25,53.83,33.00,3.63,0.50,0.24,3.01,0.25,9.48E+07,Phra Pinklao Police Station,Khlong Khu Mueang Derm
309,16,2562,คลองคูเมืองเดิม,สะพานหน้ากระทรวงมหาดไทย,29.58,7.08,3.80,0.00,4.92,46.08,19.92,3.27,0.68,0.30,2.69,0.23,2.91E+08,Bridge in front of the Ministry of Interior,Khlong Khu Mueang Derm
310,21,2562,คลองหลอดวัดราชนัดดา,หลัง  กทม. 1,29.58,7.09,1.36,0.09,9.00,60.75,15.08,5.47,2.33,0.17,1.89,0.38,5.47E+10,Behind Bangkok 1,Khlong Lod Wat Ratchanatda
311,31,2562,คลองหลอดวัดราชบพิธ,ถนนตีทอง,29.58,7.02,2.06,0.06,10.58,64.42,23.67,5.08,1.99,0.29,2.10,0.43,1.56E+10,Thi Thong Road,Khlong Lod Wat Ratchabophit
